pijani (mezi sebou)


pijani -> hlas (neplatil)
hlas -> pijani
pijani -> hlas

pijani -> hlas
hlas -> pijani
pijani -> hlas


narrator -> kolohnát
kolohnát -> narrator
narrator -> kolohnát
kolohnát -> narrator

kolohnát -> pijani

pijani -> Mamert
pijani -> Mamert
pijani -> Krafta
pijani -> Krafta
pijani -> Mamert

narrator -> výrostek
výrostek -> narrator

narrator -> pijani
pijani -> narrator
narrator -> pijani
pijani -> narrator
pijani -> narrator
narrator -> pijani
pijani -> narrator
Kolčava -> narrator
pijani -> Kolčava
Krafta -> pijani


narrator -> Mamert
Mamert -> narrator
narrator -> Mamert
Mamert -> narrator
narrator -> Mamert
Mamert -> narrator
narrator -> Mamert
Mamert -> narrator


narrator -> Mamert





Mamert (v rukopise):
	matička -> dcera
	dcera -> matička

	dcera -> matička


// dcera (v suplice) -> úřad


narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator

hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator

hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator

narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator

hospodský -> narrator
hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský

hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský

hospodský -> narrator
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator



hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský
hospodský -> narrator
narrator -> hospodský



// Mamert (ve snu) -> narrator


Mamert (v dopise) -> narrator



narrator -> hoch
hoch -> narrator
narrator -> hoch
hoch -> narrator

hoch -> narrator

narrator -> hoch
hoch -> narrator
narrator -> hoch
hoch -> narrator
narrator -> hoch
hoch -> narrator
narrator -> hoch
hoch -> narrator
